team,mean_sf,total_points,r_sf_points
Real Madrid,0.11121627703781904,97,-0.021244088339881832
Barcelona,0.12190322526769191,82,-0.20341932751320171
Girona,0.13916514278530154,81,0.19314505497914353
Atlético Madrid,0.15452286730621384,74,-0.042617500291789095
Athletic Club,0.19822304797437246,72,0.3961159526068595
Real Betis,0.17864734279717126,60,-0.14805622944897515
Real Sociedad,0.17646581064320824,58,0.2029352392877545
Villarreal,0.16315699557428262,51,0.18963445034258758
Valencia,0.21971683703214742,49,0.03987330920598012
Deportivo Alavés,0.24309072043436994,45,0.44216004758659
Osasuna,0.21682318218006683,45,0.11148480745387662
Getafe,0.24854166994215543,43,0.08501885324596509
Sevilla,0.18358550528815132,42,0.32920821311497334
Las Palmas,0.1473622177452789,42,-0.005622740641699091
Mallorca,0.22411907798917316,42,0.25574069521419285
Celta Vigo,0.19737171925353253,42,-0.15822896375937967
Rayo Vallecano,0.21169691467672647,40,0.28564467943499805
Cádiz,0.24131695972654765,32,0.11863501855201766
Almería,0.20269614021200977,21,0.11957063077908062
Granada,0.21218427267673623,19,0.19443211596047996
