team,r_sf_points,p_sf_points,fragility_pagerank,fragility_betweenness,total_points
Barcelona,-0.203,0.2206,0.2502,0.2831,82
Celta Vigo,-0.158,0.3427,0.1865,0.2221,42
Real Betis,-0.148,0.375,0.3295,0.3491,60
Atlético Madrid,-0.043,0.7995,0.3323,0.3441,74
Real Madrid,-0.021,0.8993,0.3004,0.3479,97
Las Palmas,-0.006,0.9733,0.3614,0.3301,42
Valencia,0.04,0.8121,0.3781,0.3818,49
Getafe,0.085,0.6118,0.3834,0.3791,43
Osasuna,0.111,0.5052,0.4062,0.418,45
Cádiz,0.119,0.4781,0.3322,0.3795,32
Almería,0.12,0.4746,0.3471,0.3232,21
Villarreal,0.19,0.2542,0.3082,0.3241,51
Girona,0.193,0.2453,0.3256,0.3448,81
Granada,0.194,0.2421,0.4976,0.5178,19
Real Sociedad,0.203,0.2217,0.3399,0.3595,58
Mallorca,0.256,0.1212,0.2618,0.2575,42
Rayo Vallecano,0.286,0.0821,0.2806,0.2882,40
Sevilla,0.329,0.0436,0.2971,0.2523,42
Athletic Club,0.396,0.0138,0.2343,0.2496,72
Deportivo Alavés,0.442,0.0054,0.4127,0.4578,45
