team,r_density,p_density,r_efficiency,p_efficiency,r_clustering,p_clustering,r_avg_path_length,p_avg_path_length,r_reciprocity,p_reciprocity
Deportivo Alavés,-0.077,0.6455,-0.042,0.8005,0.166,0.3204,-0.087,0.6019,-0.11,0.5096
Granada,-0.321,0.0495,-0.299,0.0687,-0.182,0.2728,0.223,0.1792,-0.137,0.4124
Barcelona,-0.302,0.0656,-0.367,0.0236,-0.236,0.1543,0.256,0.1202,0.072,0.6689
Almería,-0.006,0.9732,-0.147,0.3769,-0.002,0.99,-0.096,0.5656,0.246,0.1364
Sevilla,-0.613,0.0,-0.61,0.0,0.021,0.8989,0.501,0.0014,-0.479,0.0023
Cádiz,-0.141,0.398,-0.16,0.3387,-0.075,0.6562,0.225,0.1752,0.037,0.8269
Girona,-0.275,0.095,-0.296,0.0715,-0.083,0.6206,0.185,0.2658,-0.054,0.7475
Athletic Club,-0.406,0.0115,-0.445,0.0051,0.135,0.4207,0.236,0.1538,-0.172,0.3005
Real Sociedad,0.059,0.7238,0.117,0.4852,0.137,0.4128,0.018,0.9153,-0.041,0.8087
Mallorca,-0.099,0.553,-0.014,0.9329,0.201,0.2252,0.114,0.4969,-0.197,0.2369
Real Betis,-0.222,0.1799,-0.308,0.0601,0.046,0.7855,0.359,0.0271,0.099,0.5533
Atlético Madrid,-0.169,0.3093,-0.23,0.1639,-0.076,0.6512,-0.023,0.893,0.088,0.6011
Villarreal,-0.377,0.0196,-0.391,0.0153,-0.255,0.1221,0.251,0.1288,-0.247,0.1346
Celta Vigo,-0.124,0.4582,-0.102,0.5442,-0.141,0.3982,0.154,0.3556,-0.073,0.6622
Valencia,-0.182,0.2752,-0.126,0.4497,-0.185,0.2669,-0.115,0.4935,-0.177,0.2875
Las Palmas,-0.223,0.1784,-0.225,0.1737,-0.045,0.7901,0.253,0.1261,-0.045,0.7895
Osasuna,-0.188,0.258,-0.161,0.3342,0.065,0.6991,0.027,0.8699,-0.119,0.4785
Real Madrid,-0.159,0.3401,-0.139,0.4039,-0.035,0.8335,0.158,0.3444,-0.15,0.3688
Getafe,0.079,0.6389,0.077,0.6439,0.071,0.6698,-0.103,0.5391,0.053,0.753
Rayo Vallecano,-0.365,0.0241,-0.361,0.0259,0.132,0.4285,0.31,0.058,-0.254,0.1239
