team,n_nodes,n_edges,density,efficiency,clustering,avg_path_length,reciprocity
Mallorca,25,500,0.8333,0.935,0.124,1.1667,0.956
Athletic Club,27,561,0.7991,0.9274,0.0627,1.2023,0.9305
Rayo Vallecano,26,491,0.7554,0.8969,0.0758,1.2062,0.9491
Celta Vigo,31,672,0.7226,0.8935,0.0501,1.2785,0.9107
Las Palmas,29,596,0.734,0.8929,0.0338,1.266,0.9295
Real Madrid,27,513,0.7308,0.8903,0.1044,1.2194,0.9318
Villarreal,32,727,0.7329,0.8901,0.0727,1.2671,0.9354
Barcelona,29,591,0.7278,0.8867,0.0806,1.2722,0.9374
Atlético Madrid,27,502,0.7151,0.8775,0.0712,1.245,0.9442
Real Betis,35,824,0.6924,0.8773,0.0618,1.3084,0.9102
Real Sociedad,31,640,0.6882,0.8728,0.0425,1.3183,0.9156
Sevilla,35,784,0.6588,0.8577,0.0666,1.3487,0.9133
Girona,25,398,0.6633,0.8567,0.0547,1.3433,0.9246
Almería,35,767,0.6445,0.8538,0.0661,1.3613,0.9022
Cádiz,33,664,0.6288,0.8497,0.0636,1.3807,0.8855
Osasuna,29,511,0.6293,0.8411,0.0988,1.3227,0.9119
Deportivo Alavés,29,498,0.6133,0.8407,0.0526,1.4039,0.8876
Valencia,30,542,0.623,0.8402,0.0561,1.3816,0.9077
Getafe,32,591,0.5958,0.8182,0.0547,1.381,0.9171
Granada,40,769,0.4929,0.7718,0.0456,1.5237,0.8947
